src_ip,session,clean,unrated,suspicious,malicious
143.244.180.103,d15450502d1e,55,32,2,2
143.244.180.103,0bfb9504a704,55,32,2,2
143.244.180.103,6ef3d82ab405,55,32,2,2
143.244.180.103,3a63155b3f45,55,32,2,2
144.217.89.216,1fbe6530a537,57,31,2,1
144.217.89.216,60bc1e767e0c,57,31,2,1
144.217.89.216,1d2d752da410,57,31,2,1
144.217.89.216,76cef3c1ec34,57,31,2,1
144.217.89.216,d2e5b3952c9b,57,31,2,1
144.217.89.216,3c304c68c5ad,57,31,2,1
144.217.89.216,50af86ee957e,57,31,2,1
144.217.89.216,02390011910e,57,31,2,1
146.190.102.80,c1f3101665c4,55,31,1,4
146.190.102.80,dee01a5586ed,55,31,1,4
146.190.102.80,d5c660a7aebd,55,31,1,4
146.190.102.80,712c01efa21a,55,31,1,4
146.190.103.233,f040bff368f2,53,31,2,4
146.190.104.244,f0824134e92a,54,31,1,3
146.190.104.244,e59170fcb6b3,54,31,1,3
146.59.230.1,20802ad6601e,54,31,1,4
146.59.230.1,f4f345f516a1,54,31,1,4
146.59.230.1,fa936440f5d2,54,31,1,4
146.59.230.1,fd444d948954,54,31,1,4
148.74.148.131,7262b5587e96,57,29,3,1
148.74.148.131,c14816382cc4,57,29,3,1
149.78.186.161,30ec7365cd60,55,31,2,3
149.78.186.161,ca2dfbf6633f,55,31,2,3
149.78.186.161,2a0acd33c708,55,31,2,3
149.78.186.161,b64f0ee958e3,55,31,2,3
149.78.186.161,c06b7430493e,55,31,2,3
149.78.186.161,b9241a93af8a,55,31,2,3
149.78.186.161,21baf729b430,55,31,2,3
149.78.186.161,f917136af503,55,31,2,3
15.235.163.70,87ba3e65932a,55,30,1,4
15.235.163.70,5e08482bc24b,55,30,1,4
15.235.163.70,349243bd26af,55,30,1,4
15.235.184.198,200abf5bc3a5,55,28,2,3
15.235.184.198,0cca75213c31,55,28,2,3
15.235.184.198,88b12d8b7349,55,28,2,3
15.235.184.198,74612a6d67ff,55,28,2,3
15.235.207.53,5072d598f73e,55,30,1,4
150.223.61.89,38bb3756a74f,57,31,2,1
150.223.78.207,906eea5a6118,57,29,3,1
150.223.78.207,c36af4d40e8f,57,29,3,1
150.223.78.207,c5e9c6343ecf,57,29,3,1
