src_ip,session,clean,unrated,suspicious,malicious
50.84.211.204,3e34884368c5,50,29,2,7
50.84.211.204,7d715b03e9f1,50,29,2,7
50.92.231.247,c51856eb24a0,56,30,2,2
51.178.136.185,c086782cb938,59,33,1,1
51.178.136.185,c87122eebd09,59,33,1,1
51.210.243.91,5553efe2b927,51,29,2,6
51.210.243.91,be203ec68b8c,51,29,2,6
51.210.243.91,f253ce8aa394,51,29,2,6
51.210.243.91,706b3d2a3a86,51,29,2,6
51.210.243.91,aa36cc8e6d0d,51,29,2,6
51.210.243.91,3dc8ba9e158b,51,29,2,6
51.38.231.236,74222480fc85,59,29,3,2
51.68.224.126,8f2d560d7984,52,29,2,5
51.68.224.126,f4e4cebce68c,52,29,2,5
51.68.224.126,f80136e35eaf,52,29,2,5
51.68.224.126,06e095c83ad7,52,29,2,5
51.68.224.126,92eaabcf68c9,52,29,2,5
51.68.224.126,052eb5c22d2a,52,29,2,5
51.68.224.126,c5a8c2eec752,52,29,2,5
51.75.120.93,899d0f8cf2a2,58,33,1,0
51.75.120.93,7a8c7e74017a,58,33,1,0
51.75.120.93,35fcf05e0b3f,58,33,1,0
51.75.120.93,4aceea349362,58,33,1,0
51.75.120.93,c4a2be060359,58,33,1,0
51.75.120.93,bea2c7c33968,58,33,1,0
51.75.120.93,a77157a74639,58,33,1,0
51.75.170.22,fdb2ac0e8d51,54,30,2,4
51.75.170.22,15f094c89432,54,30,2,4
51.75.170.22,2792ed6c92a1,54,30,2,4
51.75.170.22,1daaec6d3131,54,30,2,4
51.75.170.22,133b8d1592e7,54,30,2,4
51.75.170.22,e33d02c9d550,54,30,2,4
51.75.170.22,c754771d2c06,54,30,2,4
51.75.195.40,91266eb3373f,59,32,1,1
51.75.195.40,68b4bbbfbfd8,59,32,1,1
51.77.149.188,8e4c974d82b2,53,30,1,4
51.77.149.188,6739fe7c052c,53,30,1,4
51.77.149.188,f2665edf4fef,53,30,1,4
51.77.158.34,c3a75b056fdb,54,30,2,4
51.77.158.34,663298f54a80,54,30,2,4
51.77.158.34,698f9d89c01c,54,30,2,4
51.77.158.34,fa3bf0602e52,54,30,2,4
51.77.158.34,8a3b69b6b251,54,30,2,4
51.77.158.34,0c4a871dd81a,54,30,2,4
51.77.158.34,027d43a999db,54,30,2,4
51.77.245.237,f22899a49234,53,30,3,5
51.77.245.237,2bc2b3e68713,53,30,3,5
51.77.245.237,5cb3b6d87fed,53,30,3,5
51.77.245.237,97e8e1e7edc9,53,30,3,5
51.77.245.237,954a98ad45c0,53,30,3,5
51.77.245.237,b4c253dda5ab,53,30,3,5
51.77.245.237,e509ca2d224b,53,30,3,5
51.77.245.237,c3a570a7dd3a,53,30,3,5
51.77.245.237,62260c7e95e7,53,30,3,5
51.77.245.237,be4adfb3db1d,53,30,3,5
51.83.79.55,bac0aa5a94a3,55,31,1,4
51.83.79.55,8e7b571b2a59,55,31,1,4
51.83.79.55,91f478b6b976,55,31,1,4
51.83.79.55,b30e0f2c93c3,55,31,1,4
51.83.79.55,f0f5c83c52b9,55,31,1,4
51.83.79.55,923a5f0f6174,55,31,1,4
51.91.249.38,be7b696142d8,56,31,1,3
51.91.249.38,9a5433a66d46,56,31,1,3
51.91.249.38,4c89575cb027,56,31,1,3
51.91.249.38,d927c632de21,56,31,1,3
52.161.124.61,df5b5a9c522f,61,31,1,0
52.161.124.61,1e95e6973f34,61,31,1,0
52.161.124.61,6ba5e975b67b,61,31,1,0
52.161.124.61,1346626eb0ee,61,31,1,0
52.161.124.61,dec91013d6ec,61,31,1,0
52.161.124.61,58e163131544,61,31,1,0
52.161.124.61,6a90caaa9c96,61,31,1,0
52.161.124.61,187df80406a0,61,31,1,0
52.161.124.61,cc900b4df459,61,31,1,0
52.161.124.61,ce8a52022328,61,31,1,0
52.161.126.236,5ea927a962e1,59,29,3,2
52.161.126.236,a01a8ff223c0,59,29,3,2
52.161.126.236,502c533a9947,59,29,3,2
52.161.126.236,71b46cbdd3af,59,29,3,2
52.161.126.236,265c1735ae04,59,29,3,2
52.161.126.236,225b11679837,59,29,3,2
52.161.126.236,1afd5e254202,59,29,3,2
52.161.126.236,0626b88551b5,59,29,3,2
52.161.157.17,359fc8121e55,61,28,3,1
52.161.157.17,55ec87f5c167,61,28,3,1
52.161.157.17,0757026aa530,61,28,3,1
52.161.157.17,a9a9d2110624,61,28,3,1
52.161.157.17,942ef4c33480,61,28,3,1
52.161.157.17,7ad35be66c61,61,28,3,1
52.161.157.17,786bcc294d11,61,28,3,1
52.161.157.17,ac08a49c2ae5,61,28,3,1
52.161.164.116,bc044626de61,56,28,2,7
52.161.164.116,db0fbb841e47,56,28,2,7
52.161.164.116,37e4c774e94e,56,28,2,7
52.161.164.116,9896a8c2acbd,56,28,2,7
52.161.97.98,dab9b33d547c,60,32,0,1
52.161.97.98,a71ee61e2350,60,32,0,1
52.172.162.64,bd4a4db6e57a,59,29,3,2
52.172.162.64,6d0f123ed44e,59,29,3,2
52.172.162.64,4be7a7b5bad2,59,29,3,2
52.172.162.64,7aa532c8711b,59,29,3,2
52.172.162.64,968b74cf15a2,59,29,3,2
52.187.9.8,7a542590f8f5,53,30,1,6
54.37.153.81,df60e5de9a3a,53,29,2,5
54.37.233.240,4e0504c1828b,52,30,2,6
54.37.233.240,3a4f7dfb226c,52,30,2,6
54.37.233.240,c34db3770eae,52,30,2,6
54.37.233.240,19d13b489e7c,52,30,2,6
54.37.233.240,4f46b7d15b43,52,30,2,6
54.37.233.240,d4f9307b8f78,52,30,2,6
57.128.190.44,207272efb51c,53,30,2,5
57.128.190.44,90f00f00b8fc,53,30,2,5
57.128.190.44,dd62f071f181,53,30,2,5
57.128.190.44,5d07048861b3,53,30,2,5
57.128.190.44,a5b05bedef7f,53,30,2,5
57.128.190.44,7b5c9f0f1a3d,53,30,2,5
57.128.190.44,f0013b92d08c,53,30,2,5
59.103.120.51,bb221c89ec40,54,29,3,3
59.103.120.51,040a44479be5,54,29,3,3
59.103.120.51,9128154476ca,54,29,3,3
59.106.210.116,a43fb1be00e0,58,30,3,1
59.106.210.116,672a26cb7971,58,30,3,1
59.12.160.91,1334270e00ca,51,29,2,6
59.34.57.200,63d1e5354dad,52,30,1,5
59.36.254.224,d28062c098e8,51,30,1,6
60.214.111.87,1b71303dc1be,52,29,1,6
60.225.160.190,4ddacd1ee7ae,53,31,1,5
60.225.160.190,5ee2a24b8cbc,53,31,1,5
60.225.160.190,2abbe3febde3,53,31,1,5
60.225.160.190,4671166f8a17,53,31,1,5
60.225.160.190,13e6bac09ce6,53,31,1,5
60.225.160.190,2e7742832fae,53,31,1,5
60.225.160.190,77f69fb2cde4,53,31,1,5
60.225.160.190,70866324aec6,53,31,1,5
60.225.160.190,77badf80d211,53,31,1,5
60.225.160.190,b17e76783187,53,31,1,5
60.225.160.190,67bf8500bc40,53,31,1,5
60.225.160.190,fd3a6c52f164,53,31,1,5
60.225.160.190,787a17d4e75f,53,31,1,5
60.225.160.190,209b61f0228a,53,31,1,5
61.153.184.30,c1aaeb3293ab,55,31,2,3
61.220.44.44,555b7c0c174f,50,29,3,6
61.220.44.44,5d6262c78b44,50,29,3,6
61.220.44.44,ffad1500453e,50,29,3,6
61.220.44.44,b40629838e01,50,29,3,6
61.220.44.44,fb4248bc1b15,50,29,3,6
61.72.55.130,43638990b129,50,29,1,8
62.117.71.122,78d5f8108ef4,57,29,4,1
62.210.125.190,ac04ca8986d4,55,30,3,3
62.210.125.190,62897344ffa1,55,30,3,3
62.210.125.190,e7be65c22a5a,55,30,3,3
62.210.125.190,011940b678df,55,30,3,3
62.210.125.190,46e2be725e40,55,30,3,3
62.210.125.190,6a4cbea4b60f,55,30,3,3
62.99.74.172,10d403d3d7da,54,29,3,3
62.99.74.172,a49dc3d40817,54,29,3,3
62.99.74.172,4de5e22d0797,54,29,3,3
62.99.74.172,0564b4e2b760,54,29,3,3
62.99.74.172,4d551f56e8be,54,29,3,3
62.99.74.172,4b4db5b6f889,54,29,3,3
62.99.74.172,5c97aa79e796,54,29,3,3
62.99.74.172,8c3df61f7859,54,29,3,3
64.226.76.4,9230fd63ac59,57,31,2,1
64.227.132.173,3e573f2d9bc2,57,33,1,2
64.227.132.173,c07480a42209,57,33,1,2
64.227.151.109,841492dd1e56,59,30,2,1
64.227.151.119,97fab93a53ca,56,29,2,2
64.227.151.119,94ef37784dd3,56,29,2,2
64.227.158.157,55795af7ad39,51,29,2,6
64.227.158.157,427d71ba91d7,51,29,2,6
64.227.158.157,8323a3903f96,51,29,2,6
64.227.158.157,67cb3a19fb99,51,29,2,6
64.227.158.157,677556f29949,51,29,2,6
64.227.158.157,004735693ff0,51,29,2,6
64.227.158.157,ed930f6cd76a,51,29,2,6
64.227.158.157,c4d376f0b21c,51,29,2,6
64.227.46.106,b505d6fa957b,57,32,1,1
67.205.138.101,c43dd9e7587d,56,31,2,2
67.205.138.101,b55421b08aab,56,31,2,2
67.205.138.101,36ccbabd8a5e,56,31,2,2
67.205.138.101,9aa132a9e63a,56,31,2,2
